DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h PROTECT
201312 100.1 73.3 97.0 37.1 1.7 56.0 37.7 2360
201403 130.2 93.6 137.8 33.7 1.4 62.3 82.9 1695
201404 127.2 88.6 144.7 16.3 0.9 57.4 129.0 1762
201405 107.5 61.1 117.7 15.0 0.8 46.8 148.7 2331
201406 115.6 54.4 74.2 6.1 0.8 39.5 168.1 2687.5
201407 140.3 89.2 100.0 6.3 0.9 38.8 170.0 2596
201408 120.0 62.3 88.5 5.2 0.8 42.5 172.0 3282.5
201409 98.5 65.4 87.9 6.3 1.0 49.2 106.0 3415.5
201410 153.7 118.5 148.2 8.5 1.3 69.5 53.8 1623
201411 116.8 86.3 126.8 15.7 1.6 64.9 37.4 1949
201412 85.9 57.8 95.1 28.2 1.6 52.8 42.1 3100
201503 127.0 85.7 146.5 20.2 1.2 53.2 87.1 2603
201504 106.7 70.8 117.7 9.0 0.8 43.0 124.2 3077
201505 105.5 55.5 96.6 8.4 0.7 37.2 153.4 2930
201506 111.0 60.3 70.0 6.2 1.3 35.4 156.5 3124
201507 122.0 61.1 73.6 4.5 0.8 35.0 176.8 2528
201508 103.9 44.9 66.4 3.3 0.8 31.3 158.8 3484
201509 82.5 49.9 58.7 4.9 0.8 43.4 109.4 2615
201510 105.6 74.1 86.3 5.7 1.0 54.5 74.3 3647
201511 153.0 118.5 85.1 11.8 2.0 61.7 24.6 4062
201512 186.7 151.7 171.9 19.6 2.9 76.3 26.3 3192
201603 132.3 92.8 136.2 18.3 1.2 57.5 79.5 17
201604 102.1 66.5 114.2 10.0 0.8 42.9 112.1 61
201605 111.4 53.6 90.4 8.5 0.7 37.8 160.4 6
201606 125.5 59.4 69.9 5.1 0.8 35.5 182.8 528
201607 118.2 69.1 74.5 3.5 0.9 33.2 158.9 5
201608 94.0 46.6 59.6 2.9 0.8 35.2 135.1 10
201609 86.2 54.6 73.3 3.2 0.8 42.7 103.9 24
201610 115.9 84.6 100.6 4.4 1.2 55.9 47.4 17
201611 132.7 99.5 134.0 11.4 1.8 67.6 27.9 10
201612 167.7 132.7 158.8 17.4 2.5 79.8 28.0 383
201703 95.5 62.7 89.2 11.1 0.9 49.1 85.1 42
201704 88.6 53.3 107.9 7.1 0.7 47.8 100.5 14
201705 135.0 59.4 136.5 7.2 0.6 36.4 159.4 513
201706 122.6 42.5 77.7 6.2 0.7 38.1 180.8 546
201707 116.3 52.1 76.7 2.9 0.8 33.8 170.2 7
201708 83.9 38.1 58.2 2.5 0.8 34.6 128.1 15
201709 97.3 57.4 98.3 4.1 0.9 48.9 119.7 514
201710 84.2 56.9 66.6 3.2 0.9 45.4 46.0 22
201711 75.4 45.4 72.9 5.5 0.9 48.9 44.7 131
201712 76.5 43.6 65.7 7.7 1.0 48.5 42.3 227
