DATE L_TEMP
20131202 -1
20131203 -1
20131204 0
20131205 -3
20131206 -2
20131207 -1
20131208 -1
20131209 -5
20131210 -4
20131211 -3
20131212 -6
20131213 -5
20131214 -6
20131215 -5
20131216 -4
20131217 -7
20131218 -8
20131219 -7
20131220 -8
20131221 -6
20131222 -6
20131223 -6
20131224 -6
20131225 -5
20131226 -9
20131227 -6
20131228 -7
20131229 -6
20131230 -5
20131231 -3
20140101 -4
20140102 -2
20140103 -5
20140104 -3
20140105 -4
20140106 -3
20140107 -5
20140108 -9
20140109 -9
20140110 -8
20140111 -5
20140112 -9
20140113 -7
20140114 -7
20140115 -4
20140116 -4
20140117 -6
20140118 -4
20140119 -4
20140120 -5
20140121 -6
20140122 -4
20140123 -3
20140124 -3
20140125 -5
20140126 -5
20140127 -5
20140128 -5
20140129 -2
20140130 -4
20140131 -2
20140201 -1
20140202 -4
20140203 -7
20140204 -7
20140205 -5
20140206 -4
20140207 -5
20140208 -9
20140209 -11
20140210 -10
20140211 -9
20140212 -7
20140213 -6
20140214 -5
20140215 -4
20140216 -4
20140217 -4
20140218 -4
20140219 -5
20140220 -4
20140221 -2
20140222 0
20140223 -1
20140224 1
20140225 2
20140226 2
20140227 -3
20140228 -2
20140301 -2
20140302 -2
20140303 1
20140304 -3
20140305 -3
20140306 -3
20140307 -1
20140308 -2
20140309 -2
20140310 2
20140311 3
20140312 -2
20140313 3
20140314 2
20140315 5
20140316 5
20140317 5
20140318 6
20140319 5
20140320 4
20140321 5
20140322 6
20140323 6
20140324 8
20140325 9
20140326 10
20140327 13
20140328 11
20140329 8
20140330 10
20140331 9
20140401 11
20140402 10
20140403 7
20140404 8
20140405 6
20140406 9
20140407 10
20140408 12
20140409 12
20140410 11
20140411 11
20140412 9
20140413 12
20140414 16
20140415 12
20140416 12
20140417 11
20140418 12
20140419 8
20140420 10
20140421 10
20140422 12
20140423 16
20140424 16
20140425 12
20140426 9
20140427 11
20140428 11
20140429 13
20140430 16
20140501 14
20140502 12
20140503 10
20140504 7
20140505 8
20140506 10
20140507 12
20140508 14
20140509 15
20140510 10
20140511 8
20140512 16
20140513 16
20140514 10
20140515 16
20140516 15
20140517 16
20140518 19
20140519 17
20140520 18
20140521 19
20140522 22
20140523 20
20140524 19
20140525 16
20140526 19
20140527 19
20140528 22
20140529 23
20140530 22
20140531 24
20140601 19
20140602 17
20140603 20
20140604 21
20140605 23
20140606 18
20140607 17
20140608 17
20140609 17
20140610 17
20140611 18
20140612 21
20140613 21
20140614 22
20140615 23
20140616 21
20140617 20
20140618 20
20140619 19
20140620 19
20140621 19
20140622 18
20140623 20
20140624 22
20140625 21
20140626 23
20140627 21
20140628 22
20140629 23
20140630 24
20140701 21
20140702 22
20140703 23
20140704 23
20140705 23
20140706 24
20140707 24
20140708 23
20140709 22
20140710 24
20140711 22
20140712 22
20140713 22
20140714 23
20140715 24
20140716 23
20140717 24
20140718 25
20140719 26
20140720 26
20140721 26
20140722 24
20140723 23
20140724 24
20140725 22
20140726 25
20140727 24
20140728 24
20140729 22
20140730 24
20140731 24
20140801 25
20140802 26
20140803 24
20140804 21
20140805 21
20140806 21
20140807 21
20140808 21
20140809 21
20140810 22
20140811 21
20140812 19
20140813 18
20140814 20
20140815 20
20140816 22
20140817 21
20140818 21
20140819 22
20140820 23
20140821 23
20140822 22
20140823 22
20140824 19
20140825 19
20140826 19
20140827 20
20140828 19
20140829 19
20140830 19
20140831 20
20140901 19
20140902 18
20140903 18
20140904 17
20140905 19
20140906 21
20140907 20
20140908 17
20140909 16
20140910 18
20140911 18
20140912 17
20140913 19
20140914 15
20140915 13
20140916 14
20140917 12
20140918 14
20140919 16
20140920 16
20140921 17
20140922 17
20140923 16
20140924 14
20140925 16
20140926 15
20140927 15
20140928 16
20140929 10
20140930 11
20141001 10
20141002 11
20141003 12
20141004 12
20141005 8
20141006 9
20141007 11
20141008 13
20141009 14
20141010 13
20141011 14
20141012 6
20141013 4
20141014 7
20141015 6
20141016 7
20141017 8
20141018 11
20141019 10
20141020 9
20141021 7
20141022 8
20141023 12
20141024 11
20141025 12
20141026 4
20141027 3
20141028 6
20141029 9
20141030 10
20141031 9
20141101 6
20141102 2
20141103 3
20141104 5
20141105 6
20141106 2
20141107 2
20141108 2
20141109 2
20141110 3
20141111 2
20141112 -1
20141113 -2
20141114 0
20141115 1
20141116 0
20141117 -2
20141118 0
20141119 0
20141120 -1
20141121 0
20141122 0
20141123 0
20141124 -2
20141125 -1
20141126 1
20141127 0
20141128 -1
20141129 2
20141130 -6
20141201 -7
20141202 -7
20141203 -7
20141204 -8
20141205 -7
20141206 -4
20141207 -7
20141208 -6
20141209 -3
20141210 -5
20141211 -4
20141212 -7
20141213 -7
20141214 -4
20141215 -6
20141216 -6
20141217 -7
20141218 -4
20141219 -5
20141220 -6
20141221 -6
20141222 -5
20141223 -1
20141224 -5
20141225 -5
20141226 -5
20141227 -5
20141228 -4
20141229 -4
20141230 -5
20141231 -8
20150101 -5
20150102 -6
20150103 -5
20150104 -1
20150105 -4
20150106 -6
20150107 -6
20150108 -3
20150109 -5
20150110 -3
20150111 -6
20150112 -5
20150113 -5
20150114 -5
20150115 -3
20150116 -7
20150117 -5
20150118 -6
20150119 -5
20150120 -2
20150121 -7
20150122 -6
20150123 -3
20150124 -5
20150125 -4
20150126 -7
20150127 -7
20150128 -5
20150129 -6
20150130 -8
20150131 -7
20150201 -6
20150202 -5
20150203 -2
20150204 -3
20150205 -4
20150206 -1
20150207 -7
20150208 -6
20150209 -6
20150210 -1
20150211 -1
20150212 -5
20150213 -3
20150214 -1
20150215 -1
20150216 -1
20150217 -1
20150218 -3
20150219 -2
20150220 -1
20150221 -4
20150222 -5
20150223 -6
20150224 -1
20150225 -5
20150226 -5
20150227 -2
20150228 -3
20150301 -3
20150302 -2
20150303 -4
20150304 -5
20150305 -3
20150306 -2
20150307 0
20150308 -2
20150309 -6
20150310 -3
20150311 -4
20150312 -2
20150313 0
20150314 2
20150315 3
20150316 6
20150317 3
20150318 5
20150319 5
20150320 6
20150321 6
20150322 1
20150323 3
20150324 3
20150325 6
20150326 8
20150327 9
20150328 8
20150329 12
20150330 12
20150331 5
20150401 3
20150402 7
20150403 5
20150404 8
20150405 4
20150406 2
20150407 3
20150408 4
20150409 5
20150410 7
20150411 5
20150412 5
20150413 4
20150414 9
20150415 13
20150416 8
20150417 12
20150418 11
20150419 7
20150420 10
20150421 9
20150422 15
20150423 11
20150424 11
20150425 15
20150426 17
20150427 15
20150428 14
20150429 15
20150430 16
20150501 14
20150502 15
20150503 10
20150504 13
20150505 12
20150506 11
20150507 14
20150508 11
20150509 10
20150510 10
20150511 11
20150512 11
20150513 19
20150514 15
20150515 12
20150516 16
20150517 16
20150518 16
20150519 17
20150520 15
20150521 16
20150522 17
20150523 19
20150524 21
20150525 21
20150526 21
20150527 21
20150528 21
20150529 18
20150530 19
