DATE WIND
20131202 3
20131203 3
20131204 3
20131205 3
20131206 3
20131207 3.75
20131208 4
20131209 3.75
20131210 3.75
20131211 3.5
20131212 3
20131213 3
20131214 3
20131215 3
20131216 3
20131217 3
20131218 3
20131219 3
20131220 3
20131221 3
20131222 3
20131223 3
20131224 3.75
20131225 4
20131226 3
20131227 3
20131228 3
20131229 3
20131230 3.25
20131231 3
20140101 3
20140102 3
20140103 3
20140104 3
20140105 3
20140106 3.25
20140107 3.5
20140108 3
20140109 3
20140110 3
20140111 3.25
20140112 3
20140113 3 
20140114 3
20140115 3
20140116 3.25
20140117 3
20140118 3.75
20140119 4.5
20140120 3.25
20140121 3
20140122 3
20140123 3
20140124 3
20140125 3
20140126 3
20140127 3
20140128 3
20140129 3
20140130 3
20140131 3
20140201 3.75
20140202 4.5
20140203 3.25
20140204 3
20140205 3
20140206 3
20140207 3.25
20140208 3.25
20140209 3
20140210 3
20140211 3
20140212 3
20140213 3
20140214 3
20140215 3
20140216 3
20140217 3
20140218 3
20140219 3
20140220 3
20140221 3
20140222 3
20140223 3
20140224 3
20140225 3
20140226 3.5
20140227 3
20140228 3
20140301 3
20140302 3
20140303 4
20140304 3.25 
20140305 3
20140306 3
20140307 3
20140308 3
20140309 3
20140310 3
20140311 4
20140312 3
20140313 3
20140314 3
20140315 3
20140316 4
20140317 3.75
20140318 3.25
20140319 4
20140320 3
20140321 3
20140322 3
20140323 3
20140324 3
20140325 3
20140326 3
20140327 3
20140328 3
20140329 3
20140330 3
20140331 3
20140401 3
20140402 4
20140403 3.75
20140404 3.25
20140405 3
20140406 3
20140407 3
20140408 4
20140409 3.25
20140410 3
20140411 3
20140412 3
20140413 3.25
20140414 3.25
20140415 3
20140416 3
20140417 3
20140418 3
20140419 3
20140420 3
20140421 3
20140422 3
20140423 3
20140424 3
20140425 3
20140426 3
20140427 3
20140428 3
20140429 3
20140430 3.75
20140501 4.5
20140502 3.75
20140503 5
20140504 3.25
20140505 3
20140506 3.25
20140507 3
20140508 3
20140509 3
20140510 3
20140511 3
20140512 3.25
20140513 4
20140514 3
20140515 3
20140516 3
20140517 3
20140518 3.25
20140519 3
20140520 3
20140521 3.25
20140522 3
20140523 3
20140524 3.25
20140525 3.25
