DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h DAYS HOLI
20131202 142 109 138 61 2.6 88 11 1 0
20131203 86 64 86 38 1.6 54 45 2 0
20131204 109 82 101 42 2 62 23 3 0
20131205 56 39 56 30 1.2 38 52 4 0
20131206 169 128 162 48 2.5 78 15 5 0
20131207 291 241 285 64 4.2 98 6 6 1
20131208 223 173 189 47 2.9 60 41 7 1
20131209 26 11 16 10 0.6 22 51 1 0
20131210 45 21 45 14 1 29 52 2 0
20131211 30 19 30 15 0.7 30 45 3 0
20131212 29 16 29 11 0.8 25 56 4 0
20131213 66 48 63 29 1.3 45 29 5 0
20131214 56 40 48 29 1.2 41 46 6 1
20131215 64 46 55 31 1.5 49 31 7 1
20131216 134 102 126 59 2.5 70 10 1 0
20131217 80 59 41 35 1.4 39 42 2 0
20131218 45 29 45 22 0.9 32 43 3 0
20131219 63 45 60 30 1.2 50 35 4 0
20131220 45 30 45 28 1.1 46 47 5 0
20131221 82 61 81 43 1.6 69 30 6 1
20131222 179 135 178 67 2.8 95 14 7 1
20131223 166 126 166 62 2.9 90 30 1 0
20131224 269 219 268 94 4.8 123 10 2 0
20131225 219 169 219 65 3.3 94 54 3 0
20131226 30 10 20 9 0.4 21 59 4 0
20131227 23 16 21 19 0.6 34 40 5 0
20131228 31 11 18 11 0.3 21 61 6 1
20131229 78 58 87 48 1.7 76 30 7 1
20131230 67 43 84 28 1.1 53 59 1 0
20131231 99 50 148 23 1.2 49 63 2 0
20140101 81 45 111 28 1.5 62 52 3 1
20140102 145 111 168 69 3.4 93 14 4 0
20140103 74 47 98 29 1.3 52 56 5 0
20140104 149 114 147 40 2.8 75 14 6 1
20140105 119 91 117 36 2.3 67 44 7 1
20140106 182 138 158 46 2.4 68 12 1 0
20140107 145 111 125 34 2 60 43 2 0
20140108 27 15 25 13 0.5 21 53 3 0
20140109 46 27 46 19 0.8 35 53 4 0
20140110 85 63 94 53 1.9 71 19 5 0
20140111 139 106 128 76 2.8 90 11 6 1
20140112 47 27 47 27 0.7 39 59 7 1
20140113 109 82 107 67 2.3 78 20 1 0
20140114 108 82 108 68 2.4 74 24 2 0
20140115 125 95 117 66 2.7 84 18 3 0
20140116 402 353 384 109 4.6 123 20 4 0
20140117 215 165 194 67 2.4 76 30 5 0
20140118 99 74 81 42 1.5 61 36 6 1
20140119 151 115 186 71 2.5 72 41 7 1
20140120 35 8 35 6 0.3 15 65 1 0
20140121 26 18 25 27 0.7 34 50 2 0
20140122 150 115 138 75 2.2 93 16 3 0
20140123 271 221 263 118 4 125 8 4 0
20140124 197 148 168 79 2.8 92 23 5 0
20140125 42 24 42 24 1 42 61 6 1
20140126 72 53 81 45 1 47 44 7 0
20140127 118 89 120 57 1.8 60 56 1 0
20140128 62 40 75 28 0.9 38 56 2 0
20140129 155 118 141 71 2.3 75 32 3 0
20140130 96 72 97 39 1.2 46 68 4 0
20140131 190 143 182 63 1.4 48 38 5 1
20140201 179 135 146 52 2 57 12 6 1
20140202 89 66 97 19 1.2 31 73 7 1
20140203 37 5 32 5 0.3 8 73 1 1
20140204 40 27 40 19 0.6 21 68 2 1
20140205 117 88 102 53 1.6 49 42 3 1
20140206 157 120 130 66 2 64 39 4 1
20140207 133 102 67 33 1.6 59 30 5 0
20140208 90 67 40 23 1.2 36 66 6 0
20140209 33 9 16 16 0.5 18 65 7 1
20140210 35 24 28 26 0.7 38 55 1 0
20140211 129 98 111 58 2.1 77 37 2 0
20140212 146 111 116 53 2.2 77 47 3 0
20140213 238 188 173 73 2.8 84 24 4 0
20140214 315 265 295 73 3.1 95 27 5 0
20140215 428 393 449 100 3.8 110 25 6 1
20140216 346 296 204 79 3.2 88 60 7 1
20140217 138 105 52 67 2.1 72 56 1 0
20140218 95 71 84 38 1.1 61 44 2 0
20140219 87 64 72 34 1.2 60 64 3 0
20140220 214 164 175 45 2.2 79 30 4 0
20140221 309 259 284 78 2.7 101 26 5 0
20140222 313 263 300 102 3.4 102 18 6 1
20140223 261 211 246 130 3.6 92 14 7 1
20140224 310 260 327 133 4.7 119 19 1 0
20140225 403 354 389 78 5.2 122 13 2 0
20140226 366 316 250 81 3.7 106 18 3 0
20140227 35 16 24 13 0.5 25 70 4 0
20140228 103 78 102 33 1.5 71 47 5 0
20140301 54 38 57 23 0.8 48 70 6 1
20140302 178 135 165 60 2.6 93 40 7 1
20140303 268 218 248 96 4.2 102 18 1 0
20140304 77 57 78 27 1.3 40 74 2 0
20140305 35 20 35 16 0.8 35 66 3 0
20140306 39 16 28 14 0.6 29 77 4 0
20140307 66 48 72 26 1.1 53 65 5 0
20140308 172 131 166 68 2.3 92 38 6 1
20140309 124 94 118 45 1.6 68 72 7 1
20140310 107 81 101 53 1.7 72 45 1 0
20140311 205 155 196 76 2.4 80 68 2 0
20140312 41 11 23 9 0.4 26 82 3 0
20140313 62 20 75 14 0.6 37 77 4 0
20140314 64 21 79 13 0.5 31 86 5 0
20140315 124 94 173 43 1.5 89 61 6 1
20140316 148 113 198 76 2.1 72 97 7 1
20140317 145 83 241 27 1.2 50 82 1 0
20140318 87 37 124 17 0.6 36 91 2 0
20140319 72 46 93 17 0.8 46 78 3 0
20140320 44 10 27 5 0.4 23 87 4 0
20140321 57 25 64 11 0.6 43 92 5 0
20140322 82 47 115 16 0.8 53 96 6 1
20140323 177 134 183 44 1.6 69 146 7 1
20140324 270 220 249 53 2 93 115 1 0
20140325 250 200 237 43 1.6 92 159 2 0
20140326 319 269 318 43 2 111 137 3 0
