DATE AQI PM2p5 PM10 SO2 CO NO2 O3_8h EXPORT IMPORT
201312 100.1 73.3 97.0 37.1 1.7 56.0 37.7 2073.96 1822.75
201401 124.6 93.9 122.8 51.4 1.9 65.0 36.6 2070.92 1750.64
201402 183.8 148.4 155.4 56.4 2.2 68.6 41.5 1140.87 1365.68
201403 130.2 93.6 137.8 33.7 1.4 62.3 82.9 1700.81 1620.7
201404 127.2 88.6 144.7 16.3 0.9 57.4 129.0 1883.88 1696.85
201405 107.5 61.1 117.7 15.0 0.8 46.8 148.7 1956.43 1593
201406 115.6 54.4 74.2 6.1 0.8 39.5 168.1 1867.82 1549.26
201407 140.3 89.2 100.0 6.3 0.9 38.8 170.0 2127.55 1654.75
201408 120.0 62.3 88.5 5.2 0.8 42.5 172.0 2083.42 1585.23
201409 98.5 65.4 87.9 6.3 1.0 49.2 106.0 2134.55 1824.32
201410 153.7 118.5 148.2 8.5 1.3 69.5 53.8 2066.74 1610.52
201411 116.8 86.3 126.8 15.7 1.6 64.9 37.4 2116.33 1567.79
201412 85.9 57.8 95.1 28.2 1.6 52.8 42.1 2273.72 1775.93
201501 126.3 96.6 119.8 34.0 1.9 66.2 39.4 2037.38 1409.79
201502 127.4 92.9 113.7 26.4 1.5 50.7 60.0 1712.93 1084.61
201503 127.0 85.7 146.5 20.2 1.2 53.2 87.1 1464.82 1421.75
201504 106.7 70.8 117.7 9.0 0.8 43.0 124.2 1780.51 1429.18
201505 105.5 55.5 96.6 8.4 0.7 37.2 153.4 1920.04 1314.78
201506 111.0 60.3 70.0 6.2 1.3 35.4 156.5 1910.84 1448.8
201507 122.0 61.1 73.6 4.5 0.8 35.0 176.8 1934.77 1515.05
201508 103.9 44.9 66.4 3.3 0.8 31.3 158.8 1960.83 1364.96
201509 82.5 49.9 58.7 4.9 0.8 43.4 109.4 2049.23 1453.17
201510 105.6 74.1 86.3 5.7 1.0 54.5 74.3 1921.9 1309.03
201511 153.0 118.5 85.1 11.8 2.0 61.7 24.6 1965.93 1426.16
201512 186.7 151.7 171.9 19.6 2.9 76.3 26.3 2231.36 1635.06
201601 97.0 67.9 87.8 20.2 1.6 52.6 42.1 1692.55 1125.91
201602 70.9 43.5 59.4 15.0 0.9 35.3 67.8 1218.46 936.33
201603 132.3 92.8 136.2 18.3 1.2 57.5 79.5 1550.98 1303.13
201604 102.1 66.5 114.2 10.0 0.8 42.9 112.1 1666.89 1269.98
201605 111.4 53.6 90.4 8.5 0.7 37.8 160.4 1757.1 1309.96
201606 125.5 59.4 69.9 5.1 0.8 35.5 182.8 1766.05 1314.47
201607 118.2 69.1 74.5 3.5 0.9 33.2 158.9 1806.59 1320.51
201608 94.0 46.6 59.6 2.9 0.8 35.2 135.1 1888.31 1386.01
201609 86.2 54.6 73.3 3.2 0.8 42.7 103.9 1834.4 1425.03
201610 115.9 84.6 100.6 4.4 1.2 55.9 47.4 1768.36 1284.2
201611 132.7 99.5 134.0 11.4 1.8 67.6 27.9 1935.61 1493.17
201612 167.7 132.7 158.8 17.4 2.5 79.8 28.0 2090.97 1685.99
201701 147.0 114.3 146.0 17.9 2.2 63.9 41.2 1818.2 1316.1
201702 100.8 69.9 84.7 18.0 1.3 52.7 64.7 1194.05 1292.3
201703 95.5 62.7 89.2 11.1 0.9 49.1 85.1 1797.86 1562.3
201704 88.6 53.3 107.9 7.1 0.7 47.8 100.5 1790.93 1416.4
201705 135.0 59.4 136.5 7.2 0.6 36.4 159.4 1902.39 1497.3
201706 122.6 42.5 77.7 6.2 0.7 38.1 180.8 1965.62 1537.7
201707 116.3 52.1 76.7 2.9 0.8 33.8 170.2 1936.01 1469.09
201708 83.9 38.1 58.2 2.5 0.8 34.6 128.1 1992.29 1572.38
201709 97.3 57.4 98.3 4.1 0.9 48.9 119.7 1982.59 1697.92
201710 90.6 57.2 82.2 3.6 0.9 47.1 82.2 1889.9 1508.06
201711 75.4 45.4 72.9 5.5 0.9 48.9 44.7 2173.82 1771.68
201712 76.5 43.6 65.7 7.7 1.0 48.5 42.3 2317.86 1771.01
201801 66.0 33.9 64.4 8.2 0.8 42.4 51.9 2005.19 1801.79
201802 80.7 50.2 73.6 10.2 0.9 34.5 75.8 1716.18 1378.76
